Species	Treatment	Time	Sulfur	Redox
CYM	Control	T0	508.8050314	-355.8
CYM	Control	T0	455.3459119	-348.5
CYM	Control	T0	401.8867925	-352.15
CYM	Control	T0	829.5597484	-347.8
CYM	Control	T0	807.5471698	-364.3
CYM	Control	T0	785.5345912	-356.05
CYM	Control	T0	738.3647799	-379.3
CYM	Control	T0	986.7924528	-409.7
CYM	Control	T0	967.9245283	-394.5
CYM	Control	T2	803.9274924	-379.9
CYM	Control	T2	900.6042296	-342.1
CYM	Control	T2	743.5045317	-402.1
CYM	Control	T2	964.0483384	-391.1
CYM	Control	T2	1127.190332	-391.2
CYM	Control	T2	770.694864	-391
CYM	Control	T2	831.1178248	-402.4
CYM	Control	T2	918.7311178	-396.6
CYM	Control	T2	894.5619335	-398.1
CYM	HW	T0	515.0943396	-339.1
CYM	HW	T0	939.6226415	-383.1
CYM	HW	T0	521.3836478	-361.1
CYM	HW	T0	883.0188679	-358.6
CYM	HW	T0	835.8490566	-348.7
CYM	HW	T0	917.6100629	-353.65
CYM	HW	T0	772.9559748	-379.1
CYM	HW	T0	842.1383648	-378.2
CYM	HW	T0	449.6855346	-378.65
CYM	HW	T2	1109.063444	-426.6
CYM	HW	T2	1124.169184	-424.5
CYM	HW	T2	1109.063444	-410.1
CYM	HW	T2	900.6042296	-403.4
CYM	HW	T2	1193.655589	-345.6
CYM	HW	T2	994.2598187	-398.2
CYM	HW	T2	797.8851964	-406.7
CYM	HW	T2	970.0906344	-426.1
CYM	HW	T2	1118.126888	-397.2
CAU	Control	T0	1137.735849	-383.6
CAU	Control	T0	1181.761006	-391.1
CAU	Control	T0	820.1257862	-387.35
CAU	Control	T0	945.9119497	-393.5
CAU	Control	T0	1081.132075	-367.9
CAU	Control	T0	810.6918239	-380.7
CAU	Control	T0	952.2012579	-416.3
CAU	Control	T0	927.0440252	-404.7
CAU	Control	T0	741.509434	-410.5
CAU	Control	T2	1230.136986	-392.1
CAU	Control	T2	1315.753425	-396.1
CAU	Control	T2	1093.150685	-369.2
CAU	Control	T2	1122.260274	-369.4
CAU	Control	T2	1136.815068	-390.2
CAU	Control	T2	1151.369863	-427.7
CAU	Control	T2	993.8356164	-416.1
CAU	Control	T2	1312.328767	-418.2
CAU	Control	T2	1247.260274	-415.2
CAU	HW	T0	886.163522	-401.2
CAU	HW	T0	1030.81761	-404.8
CAU	HW	T0	986.7924528	-403
CAU	HW	T0	862.5786164	-406.2
CAU	HW	T0	905.0314465	-411.7
CAU	HW	T0	820.1257862	-408.95
CAU	HW	T0	939.6226415	-406.7
CAU	HW	T0	1159.748428	-408.3
CAU	HW	T0	993.081761	-408.95
CAU	HW	T2	1284.931507	-392
CAU	HW	T2	1411.643836	-390.4
CAU	HW	T2	1048.630137	-425
CAU	HW	T2	1195.890411	-407.8
CAU	HW	T2	1394.520548	-416.2
CAU	HW	T2	1233.561644	-424.4
CAU	HW	T2	1326.027397	-422.4
CAU	HW	T2	1284.931507	-421.3
CAU	HW	T2	1442.465753	-402.5
