"OTUs";"taxa";"Log_ratio.max";"glmnet_sign.ext.3.T0";"glmnet_sign.ext.3.T1";"glmnet_sign.ext.5.T0";"glmnet_sign.ext.5.T1";"glmnet_sign.ext.10.T0";"glmnet_sign.ext.10.T1";"CAU_T0_1";"CAU_T0_2";"CAU_T0_3";"CAU_T1_1";"CAU_T1_2";"CAU_T1_3"
"OTU1";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__uncultured;__";0;0;0;0;0;0;0;0,0580549734993221;0,0256194504107526;0,0427028671381854;0,0307446978153405;0,028013859832636;0,0486243530373195
"OTU2";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Actibacter;s__uncultured_Bacteroidetes";0;0;0;0;0;0;0;0,00865894243806237;0,011337215739244;0,00988668339797703;0,0159145271886461;0,0111793933054393;0,0082062108417325
"OTU3";"d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__uncultured;s__uncultured_delta";0;0;1;0;0;0;0;0,0118944903241711;0,0160979606297469;0,0122442771313408;0,0112900653803221;0,00931616108786611;0,00997684554617271
"OTU4";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea;s__bacterium_AMSU";0;0;0;0;0;0;0;0,00899790459755947;0,00792719381767454;0,0111795573807894;0,00778185297400734;0,00882583682008368;0,00480114410242441
"OTU5";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;__;__";0;0;0;0;0;0;0;0,0228645383951682;0,0172493966032639;0,0364666514563845;0,0253867006856961;0,032394089958159;0,00772950149822937
"OTU6";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maritimimonas;s__uncultured_Bacteroidetes";0;0;0;0;0;0;0;0,00634783680512757;0,00411859790527225;0,00931629781732451;0,00481581884866847;0,00843357740585774;0,0014301280305094
"OTU7";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__;__";0;0;0;0;0;0;0;0,0304757796129668;0,0280108943557494;0,0305726671229751;0,0326582682187849;0,034486140167364;0,0219286298011441
"OTU8";"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured;s__uncultured_organism";0;0;0;0;0;0;0;0,0135276716381117;0,0148579526582671;0,0138793824625447;0,0117684579811832;0,0133695083682008;0,0209752111141378
"OTU9";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Sva0081_sediment_group;__";0;0;0;0;0;0;0;0,0374399112535437;0,0373330971413388;0,0401551448779375;0,0401211927922181;0,0391278765690377;0,0412694088804141
"OTU10";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__uncultured;__";0;0;0;0;0;0;0;0,0104461974608653;0,0142822346715086;0,0101528633356149;0,0117365651411258;0,0145462866108787;0,0098065922092073
"OTU11";"d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;__";0;0;0;0;0;0;0;0,0213546160483175;0,00965434777795;0,0231956802798692;0,0185616329134109;0,0128138075313808;0,005890765459003
"OTU12";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_BD2-2;g__Bacteroidetes_BD2-2;__";0;0;0;0;0;0;0;0,0266239368914089;0,0298266203139877;0,0228154232261008;0,0238239515228831;0,0281773012552301;0,028193952601471
"OTU13";"d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__uncultured;__";0;0;0;0;1;0;1;0,0219400961419943;0,0335687872279179;0,0254772226024793;0,0236644873225961;0,023241370292887;0,0173317897030782
"OTU14";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina;__";0;0;0;0;0;0;0;0,0182423271292987;0,05325391377516;0,0176059015894745;0,0212725243182905;0,0288964435146444;0,0227798964859711
"OTU15";"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__uncultured;s__uncultured_bacterium";0;0;0;0;0;0;0;0,00317391840256379;0,0036093089169859;0,00334626207316146;0,0040184978472333;0,00496861924686192;0,00296240806319804
"OTU16";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;__;__";0;0;0;0;0;0;0;0,0510292123752003;0,0583246606585328;0,0535401931705833;0,0524318290543773;0,0545894351464435;0,0714723508580768
"OTU17";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidetes_VC2.1_Bac22;f__Bacteroidetes_VC2.1_Bac22;g__Bacteroidetes_VC2.1_Bac22;__";0;0;0;0;0;0;0;0,000801183286084063;0,00287858993379243;0,00110274545592821;0,00255142720459257;0,00617808577405858;0,00146417869790248
"OTU18";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__uncultured;s__uncultured_sediment";0;0;1;0;1;0;1;0,010292123752003;0,00750647682735103;0,0104950946840064;0,00644235369159624;0,00657034518828452;0,00674203214383002
"OTU19";"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured;__";0;0;0;1;0;1;0;0,0207383212128682;0,0146808086623414;0,017263670241083;0,0188486684739276;0,0191880230125523;0,0254358485426314
"OTU20";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea;s__uncultured_bacterium";0;0;0;0;0;0;0;0,00203377295698262;0,00400788290781869;0,00269982508175527;0,00366767660660182;0,00297463389121339;0,00224734404794334
