"OTUs";"taxa";"Log_ratio.max";"glmnet_sign.ext.3.T0";"glmnet_sign.ext.3.T1";"glmnet_sign.ext.5.T0";"glmnet_sign.ext.5.T1";"glmnet_sign.ext.10.T0";"glmnet_sign.ext.10.T1";"Aldex.kw.noadjust.0.05";"CYM_T0_1";"CYM_T0_2";"CYM_T0_3";"CYM_T1_1";"CYM_T1_2";"CYM_T1_3"
"OTU1";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__uncultured;__";0;0;0;0;0;0;0;1;0,100171743016368;0,0936562920070313;0,0968627173258737;0,116338997959086;0,0851597968814952;0,0811259683109263
"OTU2";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Actibacter;s__uncultured_Bacteroidetes";0;0;0;0;0;0;0;0;0,0041884266236725;0,00581635818426223;0,00444389362982897;0,0049614150340496;0,00298320115415651;0,00497035968432155
"OTU3";"d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__uncultured;s__uncultured_delta";0;0;0;0;0;0;0;0;0,00378535627913498;0,00532519904870231;0,00458553167380758;0,00665186946393354;0,00299950279980764;0,00464304331486622
"OTU4";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea;s__bacterium_AMSU";0;0;0;0;1;0;1;0;0,0396410921453857;0,03277840967842;0,0289295704826316;0,0301601808648805;0,027533479504756;0,0171416794966602
"OTU5";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;__;__";0;0;0;0;0;0;0;0;0,0637902632224598;0,0363457760314342;0,0339577210438724;0,0322560694872975;0,0383333197486286;0,0156869400768587
"OTU6";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maritimimonas;s__uncultured_Bacteroidetes";0;0;0;0;0;0;0;0;0,0110230976832218;0,00581635818426223;0,00697567366594667;0,00695422716683961;0,0081589736483898;0,00317618106656645
"OTU7";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__;__";0;0;0;0;0;0;0;0;0,0611089691914058;0,0621962568503774;0,0632059771254559;0,0488788713811562;0,0687766430021111;0,0385627174532362
"OTU8";"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured;s__uncultured_organism";0;0;0;0;0;0;0;0;0,00597595597770846;0,00377417019956571;0,00539995042668461;0,0121011798822179;0,00447480173123477;0,0110560195904909
"OTU9";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Sva0081_sediment_group;__";0;0;0;0;0;0;0;0;0,0133188461673268;0,0175266259952435;0,0181827838957544;0,0211031933096486;0,011166627271023;0,0217847228115264
"OTU10";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__uncultured;__";0;0;0;0;0;0;0;0;0,0108478497073359;0,0152259332023576;0,0130307000460324;0,0131594318423892;0,00968317751677032;0,0136866733746318
"OTU11";"d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;__";0;0;0;0;0;0;0;0;0,0210648067014826;0,0118912211767139;0,0161113275025672;0,0134411742473698;0,0202303422530504;0,00453393785838112
"OTU12";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_BD2-2;g__Bacteroidetes_BD2-2;__";0;0;0;1;0;1;0;0;0,00597595597770846;0,00865991107434598;0,00674551184448143;0,00989534300419865;0,00675703212239276;0,0131047776067112
"OTU13";"d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__uncultured;__";0;0;1;0;0;0;0;0;0,0247274893974975;0,038232861131217;0,0317623313622039;0,043388330367021;0,0185512727509842;0,0321861096631066
"OTU14";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina;__";0;0;0;0;0;0;0;0;0,00760576215344713;0,00925447213318168;0,00989695832300556;0,0100533936216268;0,00903111169072518;0,0128380753797476
"OTU15";"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__uncultured;s__uncultured_bacterium";0;0;0;0;0;0;0;0;0,000753566296309278;0,000542860097197808;0,00077900924188237;0,000590971873861864;0,000823233105381988;0,00247305701366243
"OTU16";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;__;__";0;0;0;0;0;0;0;0;0,0152465739020714;0,0172164202254162;0,019191954959102;0,020773348542842;0,0175405707206142;0,0297979124489326
"OTU17";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidetes_VC2.1_Bac22;f__Bacteroidetes_VC2.1_Bac22;g__Bacteroidetes_VC2.1_Bac22;__";0;0;0;0;0;0;0;0;0,000753566296309278;0,00180953365732603;0,00127474239580751;0,00144307085477897;0,00126337753796246;0,00317618106656645
"OTU18";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__uncultured;s__uncultured_sediment";0;0;1;0;0;0;0;0;0,00771091093897865;0,00672112501292524;0,00869303494918735;0,0060471540581214;0,00741724877126346;0,00577046636521233
"OTU19";"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured;__";0;1;0;0;0;0;0;0;0,00744803897514984;0,00584220866508117;0,00821500655075953;0,0136129683967483;0,00542029717900022;0,0159172738183273
"OTU20";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea;s__uncultured_bacterium";0;0;0;0;0;0;0;0;0,00318951316112299;0,00403267500775514;0,00300980843454552;0,00385506071205239;0,00215996804877452;0,00358835723551019
"OTU21";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Zeaxanthinibacter;s__uncultured_bacterium";0;0;0;0;0;1;0;0;0,00089376467701798;0,000982318271119843;0,000920647285860982;0,00123004610954969;0,000904741333637631;0,00170931881826668
"OTU22";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfatitalea;s__uncultured_Desulfobacteraceae";0;0;0;0;0;0;0;0;0,000753566296309278;0,000517009616378865;0,00061966644240643;0,000590971873861864;0,000586859243440625;0,000545527282425536
