"OTUs";"taxa";"Log_ratio.max";"glmnet_sign.ext.5.T2C";"glmnet_sign.ext.5.T2HW";"glmnet_sign.ext.10.T2C";"glmnet_sign.ext.10.T2HW";"CAU_T2C_1";"CAU_T2C_2";"CAU_T2C_3";"CAU_T2HW_1";"CAU_T2HW_2";"CAU_T2HW_3"
"OTU1";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__uncultured;__";0;0;0;0;0;0,0424167048504287;0,0333343398049458;0,0183303221921108;0,0202025041522933;0,0407080455564195;0,0430247461303362
"OTU2";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Actibacter;s__uncultured_Bacteroidetes";0;0;0;0;0;0,0178700006545788;0,0109604758597784;0,0105389942788317;0,0122812060815127;0,0117778895851438;0,015025140490979
"OTU3";"d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__uncultured;s__uncultured_delta";0;0;0;0;0;0,0216992865091314;0,0121078534979921;0,00967329117735622;0,0126325539798135;0,016832090746924;0,016030760130139
"OTU4";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea;s__bacterium_AMSU";0;0;0;0;0;0,00733128231982719;0,00594824722968689;0,00594700391448359;0,00340168646991184;0,00654073091524493;0,0088139603667554
"OTU5";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;__;__";0;0;1;0;1;0,0209792498527198;0,0170294996829614;0,0130984643179765;0,00675546186278268;0,0102227507661346;0,0161687863551218
"OTU6";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maritimimonas;s__uncultured_Bacteroidetes";0;0;0;0;0;0,0035347254042024;0,00628038286180138;0,0031616982836495;0,00100613261786125;0,00304166857247404;0,00615202602780242
"OTU7";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__;__";0;0;0;0;0;0,031747070759966;0,0230683293577705;0,0191960252935863;0,0217516289766194;0,0234871701047432;0,030050280981958
"OTU8";"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured;s__uncultured_organism";0;0;0;0;0;0,020619231524514;0,0178447416890607;0,0152439024390244;0,0153315446531238;0,0193477564835567;0,0169772256728778
"OTU9";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Sva0081_sediment_group;__";0;0;0;0;0;0,0459841591935589;0,0489447145143271;0,0305630834086119;0,0359652484987863;0,0548415130585921;0,0467711722370107
"OTU10";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__uncultured;__";0;0;0;0;0;0,0136152385939648;0,0114133880853891;0,0088452273411623;0,0115305992078702;0,0156657366326671;0,0149857044266982
