"OTUs";"taxa";"Aldex.kw.0.05";"Aldex.kw.0.01";"Aldex.kw.0.001";"Log_ratio.max";"glmnet_sign.CAU";"glmnet_sign.CYM";"simper.props";"CAU_T0_1";"CAU_T0_2";"CAU_T0_3";"CAU_T1_1";"CAU_T1_2";"CAU_T1_3";"CAU_T2C_1";"CAU_T2C_2";"CAU_T2C_3";"CAU_T2HW_1";"CAU_T2HW_2";"CAU_T2HW_3";"CYM_T0_1";"CYM_T0_2";"CYM_T0_3";"CYM_T1_1";"CYM_T1_2";"CYM_T1_3";"CYM_T2C_1";"CYM_T2C_2";"CYM_T2C_3";"CYM_T2HW_1";"CYM_T2HW_2";"CYM_T2HW_3"
"OTU1";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Thiotrichales.f__Thiotrichaceae.g__uncultured.__";1;0;0;0;0;1;1;0,0580549734993221;0,0256194504107526;0,0427028671381854;0,0307446978153405;0,028013859832636;0,0486243530373195;0,0424167048504287;0,0333343398049458;0,0183303221921108;0,0202025041522933;0,0407080455564195;0,0430247461303362;0,100171743016368;0,0936562920070313;0,0968627173258737;0,116338997959086;0,0851597968814952;0,0811259683109263;0,0693225693225693;0,0900927804265222;0,128875160875161;0,141894574452397;0,117480964467005;0,116956918218011
"OTU2";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Actibacter.s__uncultured_Bacteroidetes";1;1;1;0;0;1;1;0,00865894243806237;0,011337215739244;0,00988668339797703;0,0159145271886461;0,0111793933054393;0,0082062108417325;0,0178700006545788;0,0109604758597784;0,0105389942788317;0,0122812060815127;0,0117778895851438;0,015025140490979;0,0041884266236725;0,00581635818426223;0,00444389362982897;0,0049614150340496;0,00298320115415651;0,00497035968432155;0,00394875394875395;0,00531350722369248;0,00462290862290862;0,00395884614948331;0,00455795262267344;0,00483752585574164
"OTU3";"d__Bacteria.p__Desulfobacterota.c__Desulfobulbia.o__Desulfobulbales.f__Desulfocapsaceae.g__uncultured.s__uncultured_delta";1;1;1;0;0;1;1;0,0118944903241711;0,0160979606297469;0,0122442771313408;0,0112900653803221;0,00931616108786611;0,00997684554617271;0,0216992865091314;0,0121078534979921;0,00967329117735622;0,0126325539798135;0,016832090746924;0,016030760130139;0,00378535627913498;0,00532519904870231;0,00458553167380758;0,00665186946393354;0,00299950279980764;0,00464304331486622;0,0037951912951913;0,00395423793391068;0,00578635778635779;0,00433317830688431;0,00587986463620981;0,00646115522341585
"OTU4";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Robiginitalea.s__bacterium_AMSU";0;0;0;0;0;0;1;0,00899790459755947;0,00792719381767454;0,0111795573807894;0,00778185297400734;0,00882583682008368;0,00480114410242441;0,00733128231982719;0,00594824722968689;0,00594700391448359;0,00340168646991184;0,00654073091524493;0,0088139603667554;0,0396410921453857;0,03277840967842;0,0289295704826316;0,0301601808648805;0,027533479504756;0,0171416794966602;0,0258533696033696;0,0360721236523154;0,0312072072072072;0,0127613235477614;0,0121933164128596;0,0139120571161673
"OTU5";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.__.__";1;0;0;0;0;0;1;0,0228645383951682;0,0172493966032639;0,0364666514563845;0,0253867006856961;0,032394089958159;0,00772950149822937;0,0209792498527198;0,0170294996829614;0,0130984643179765;0,00675546186278268;0,0102227507661346;0,0161687863551218;0,0637902632224598;0,0363457760314342;0,0339577210438724;0,0322560694872975;0,0383333197486286;0,0156869400768587;0,033542471042471;0,0372563355335647;0,0257297297297297;0,0117744478600678;0,0102791878172589;0,0116100620537799
"OTU6";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Maritimimonas.s__uncultured_Bacteroidetes";1;0;0;0;0;0;1;0,00634783680512757;0,00411859790527225;0,00931629781732451;0,00481581884866847;0,00843357740585774;0,0014301280305094;0,0035347254042024;0,00628038286180138;0,0031616982836495;0,00100613261786125;0,00304166857247404;0,00615202602780242;0,0110230976832218;0,00581635818426223;0,00697567366594667;0,00695422716683961;0,0081589736483898;0,00317618106656645;0,00732713232713233;0,0061373067932572;0,00585842985842986;0,00228002314053337;0,00146996615905245;0,00203509708413959
"OTU7";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__.__.__.__";1;0;0;0;0;0;1;0,0304757796129668;0,0280108943557494;0,0305726671229751;0,0326582682187849;0,034486140167364;0,0219286298011441;0,031747070759966;0,0230683293577705;0,0191960252935863;0,0217516289766194;0,0234871701047432;0,030050280981958;0,0611089691914058;0,0621962568503774;0,0632059771254559;0,0488788713811562;0,0687766430021111;0,0385627174532362;0,05497542997543;0,0606110533307246;0,0545894465894466;0,0408475787515455;0,0437076988155668;0,0445830831164787
"OTU8";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__Anaerolineales.f__Anaerolineaceae.g__uncultured.s__uncultured_organism";1;1;1;0;0;0;1;0,0135276716381117;0,0148579526582671;0,0138793824625447;0,0117684579811832;0,0133695083682008;0,0209752111141378;0,020619231524514;0,0178447416890607;0,0152439024390244;0,0153315446531238;0,0193477564835567;0,0169772256728778;0,00597595597770846;0,00377417019956571;0,00539995042668461;0,0121011798822179;0,00447480173123477;0,0110560195904909;0,00783169533169533;0,00989589232939626;0,0116962676962677;0,0203273704867452;0,015989847715736;0,0164142256622406
"OTU9";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.g__Sva0081_sediment_group.__";1;1;1;0;0;1;1;0,0374399112535437;0,0373330971413388;0,0401551448779375;0,0401211927922181;0,0391278765690377;0,0412694088804141;0,0459841591935589;0,0489447145143271;0,0305630834086119;0,0359652484987863;0,0548415130585921;0,0467711722370107;0,0133188461673268;0,0175266259952435;0,0181827838957544;0,0211031933096486;0,011166627271023;0,0217847228115264;0,0144787644787645;0,0197917846587925;0,0202625482625483;0,0247172657871752;0,0246615905245347;0,0222526189364116
"OTU10";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.g__uncultured.__";1;1;0;0;0;0;1;0,0104461974608653;0,0142822346715086;0,0101528633356149;0,0117365651411258;0,0145462866108787;0,0098065922092073;0,0136152385939648;0,0114133880853891;0,0088452273411623;0,0115305992078702;0,0156657366326671;0,0149857044266982;0,0108478497073359;0,0152259332023576;0,0130307000460324;0,0131594318423892;0,00968317751677032;0,0136866733746318;0,00853369603369603;0,0109874267590695;0,0116859716859717;0,00994816066789932;0,0103426395939086;0,010631436133538
