"OTUs";"taxa";"Log_ratio.max";"glmnet_sign.ext.3.T2C";"glmnet_sign.ext.3.T2HW";"glmnet_sign.ext.5.T2C";"glmnet_sign.ext.5.T2HW";"glmnet_sign.ext.10.T2C";"glmnet_sign.ext.10.T2HW";"Aldex.kw.noadjust.0.05";"simper.rel";"CYM_T2C_1";"CYM_T2C_2";"CYM_T2C_3";"CYM_T2HW_1";"CYM_T2HW_2";"CYM_T2HW_3"
"OTU1";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__uncultured;__";0;0;0;0;0;0;0;0;1;0,0693225693225693;0,0900927804265222;0,128875160875161;0,141894574452397;0,117480964467005;0,116956918218011
"OTU2";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Actibacter;s__uncultured_Bacteroidetes";0;0;0;0;0;0;0;0;0;0,00394875394875395;0,00531350722369248;0,00462290862290862;0,00395884614948331;0,00455795262267344;0,00483752585574164
"OTU3";"d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__uncultured;s__uncultured_delta";0;0;0;0;0;0;0;1;1;0,0037951912951913;0,00395423793391068;0,00578635778635779;0,00433317830688431;0,00587986463620981;0,00646115522341585
"OTU4";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea;s__bacterium_AMSU";1;0;1;0;1;0;1;0;1;0,0258533696033696;0,0360721236523154;0,0312072072072072;0,0127613235477614;0,0121933164128596;0,0139120571161673
"OTU5";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;__;__";1;0;0;0;1;0;1;0;1;0,033542471042471;0,0372563355335647;0,0257297297297297;0,0117744478600678;0,0102791878172589;0,0116100620537799
"OTU6";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maritimimonas;s__uncultured_Bacteroidetes";1;0;1;0;1;0;1;0;1;0,00732713232713233;0,0061373067932572;0,00585842985842986;0,00228002314053337;0,00146996615905245;0,00203509708413959
"OTU7";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__;__";1;0;0;0;0;0;0;0;1;0,05497542997543;0,0606110533307246;0,0545894465894466;0,0408475787515455;0,0437076988155668;0,0445830831164787
"OTU8";"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured;s__uncultured_organism";1;0;0;1;0;1;0;0;1;0,00783169533169533;0,00989589232939626;0,0116962676962677;0,0203273704867452;0,015989847715736;0,0164142256622406
"OTU9";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Sva0081_sediment_group;__";0;0;0;1;0;1;0;0;1;0,0144787644787645;0,0197917846587925;0,0202625482625483;0,0247172657871752;0,0246615905245347;0,0222526189364116
"OTU10";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__uncultured;__";0;0;1;0;1;0;1;0;1;0,00853369603369603;0,0109874267590695;0,0116859716859717;0,00994816066789932;0,0103426395939086;0,010631436133538
"OTU11";"d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;__";1;0;0;0;0;0;0;0;1;0,0128992628992629;0,013170495618416;0,0123037323037323;0,00513855961523192;0,00667301184433164;0,00876315028580325
"OTU12";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_BD2-2;g__Bacteroidetes_BD2-2;__";0;0;0;1;0;1;0;0;1;0,00882985257985258;0,0102254121572221;0,00986357786357786;0,00958517190920744;0,0112732656514382;0,0112319565845955
"OTU13";"d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__uncultured;__";0;0;0;0;0;0;0;0;1;0,0249539312039312;0,0278341279566681;0,0392895752895753;0,0280862552037842;0,0315566835871404;0,0376103734347546
"OTU14";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina;__";0;0;0;0;0;1;0;0;1;0,00919182169182169;0,0113169465868954;0,0104607464607465;0,0119445988407047;0,0145621827411168;0,011087386846378
"OTU15";"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__uncultured;s__uncultured_bacterium";0;0;0;0;0;0;0;0;0;0,00126140751140751;0,000937072010379875;0,000504504504504504;0,000544483138037819;0,000941201353637902;0,000934142923867352
"OTU16";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;__;__";0;1;0;1;0;1;0;0;1;0,0164531414531415;0,0202036844435749;0,0218790218790219;0,0260444434361423;0,025074027072758;0,0232534863548409
"OTU17";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidetes_VC2.1_Bac22;f__Bacteroidetes_VC2.1_Bac22;g__Bacteroidetes_VC2.1_Bac22;__";1;0;0;0;0;0;0;0;1;0,00131625131625132;0,00195652397771622;0,00142084942084942;0,00237077033020634;0,00255922165820643;0,00214630457507618
"OTU18";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__uncultured;s__uncultured_sediment";0;0;0;0;0;0;0;0;1;0,00488109863109863;0,00629176921255059;0,00712483912483913;0,00846217543700443;0,00585871404399323;0,00539356331042459
"OTU19";"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured;__";1;1;0;1;0;1;0;0;1;0,00929054054054054;0,0116670614039604;0,0121287001287001;0,0193631815964699;0,0211928934010152;0,0212406307688886
"OTU20";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea;s__uncultured_bacterium";0;0;0;0;1;0;1;0;0;0,00278606528606529;0,00362471810608479;0,0036036036036036;0,00375466497271913;0,00256979695431472;0,00309156824803719
"OTU21";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Zeaxanthinibacter;s__uncultured_bacterium";0;0;0;0;0;0;0;0;1;0,000943313443313443;0,00134897179516224;0,00130759330759331;0,00475288405912179;0,00100465313028765;0,000989746669335646
"OTU22";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfatitalea;s__uncultured_Desulfobacteraceae";1;0;0;0;1;0;0;0;0;0,000581344331344331;0,000834097064184284;0,000720720720720721;0,000385675556110122;0,000465313028764805;0,00053379595649563
"OTU23";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae;g__Lentimicrobiaceae;__";0;0;0;0;1;0;1;0;1;0,00342225342225342;0,00422197279401922;0,00370656370656371;0,00484363124879476;0,00528764805414552;0,00432597139743333
"OTU24";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__;__";0;0;0;0;0;0;0;0;1;0,00352097227097227;0,00271853857956359;0,00186357786357786;0,00212121555860567;0,00482233502538071;0,00301372300438158
"OTU25";"d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeia;f__Heimdallarchaeia;g__Heimdallarchaeia;s__uncultured_archaeon";1;1;0;0;0;1;0;0;1;0,000614250614250614;0,000813502074945166;0,000833976833976834;0,00258629490567964;0,00158629441624365;0,00187940659682836
