Species	Treatment	Time	redox
CYM	Control	T0	-355.8
CYM	Control	T0	-348.5
CYM	Control	T0	-347.8
CYM	Control	T0	-364.3
CYM	Control	T0	-379.3
CYM	Control	T0	-409.7
CYM	Control	T2	-379.9
CYM	Control	T2	-342.1
CYM	Control	T2	-391.1
CYM	Control	T2	-391.2
CYM	Control	T2	-402.4
CYM	Control	T2	-396.6
CYM	HW	T0	-339.1
CYM	HW	T0	-383.1
CYM	HW	T0	-358.6
CYM	HW	T0	-348.7
CYM	HW	T0	-379.1
CYM	HW	T0	-378.2
CYM	HW	T2	-426.6
CYM	HW	T2	-424.5
CYM	HW	T2	-403.4
CYM	HW	T2	-345.6
CYM	HW	T2	-406.7
CYM	HW	T2	-426.1
CAU	Control	T0	-345.4
CAU	Control	T0	-336.9
CAU	Control	T0	-330.7
CAU	Control	T0	-338.05
CAU	Control	T0	-333.6
CAU	Control	T0	-357.3
CAU	Control	T2	-392.1
CAU	Control	T2	-396.1
CAU	Control	T2	-369.4
CAU	Control	T2	-390.2
CAU	Control	T2	-416.1
CAU	Control	T2	-418.2
CAU	HW	T0	-401.2
CAU	HW	T0	-404.8
CAU	HW	T0	-406.2
CAU	HW	T0	-411.7
CAU	HW	T0	-406.7
CAU	HW	T0	-408.3
CAU	HW	T2	-392
CAU	HW	T2	-390.4
CAU	HW	T2	-407.8
CAU	HW	T2	-416.2
CAU	HW	T2	-422.4
CAU	HW	T2	-421.3
